id;customer_number;sales_organization;distribution_channel;division
1;innovative IB;Tasty XML;port whiteboard ;testing
2;strategic archit;supply-chains in;withdrawal;Virginia Regiona
3;Refined Internat;Creative relatio;SMS;(Malvinas) depos
4;Concrete;Buckinghamshire;invoice;Loan Switchable
5;Seamless sky Pro;Universal Global;value-added;California
6;Facilitator;compressing Latv;Car;Guinea
7;context-sensitiv;Intelligent;generate incubat;value-added
8;yellow deposit;Bedfordshire Niu;JSON AGP Customi;scale
9;Chilean Bike Por;user;Squares encompas;programming Ohio
10;end-to-end;Legacy;Consultant;Practical Plasti
